dataset,field,threshold,lower_interval_em,distance,higher_interval_em,lower_interval_f1,distance,higher_interval_f1,samples,sample_size,len_lower,len_higher
squad_super_distances_7,distances,7,<78.184375;83.0>,6.618750000000006,<67.36875;71.565625>,<86.37209271089036;89.785094400462>,5.950182005672076,<77.16284043266297;80.42191070521828>,100,800,8768,1651
squad_super_distances_7,distances,7,<78.434375;83.565625>,6.9281250000000085,<67.625;71.50625>,<86.55775836452005;90.09603249118638>,6.050190353916193,<77.45632921848353;80.50756801060386>,100,800,8768,1651
squad_super_distances_7,distances,7,<77.86875;84.13749999999999>,6.5531250000000085,<67.434375;71.315625>,<86.8558323616702;90.49025893307838>,6.387593475641211,<77.2015341884116;80.46823888602898>,100,800,8768,1651
squad_super_similar_words_4,similar_words,4,<72.375;77.565625>,0,<77.428125;82.625>,<82.22089527385384;86.01126985700101>,0,<85.92279063407925;89.2287345287062>,100,800,3281,7289
squad_super_similar_words_4,similar_words,4,<72.684375;77.63125>,0,<77.3625;82.63125>,<82.69974766904632;85.95306869555024>,0,<85.17790007371994;89.51715156374925>,100,800,3281,7289
squad_super_similar_words_4,similar_words,4,<72.74375;77.38125>,0.11875000000000568,<77.5;83.453125>,<82.35672356980584;86.14469536896645>,0,<85.78430279294979;89.92944649474184>,100,800,3281,7289
squad_super_answer_length_3,answer_lenght,3,<78.053125;82.75>,4.112499999999997,<67.803125;73.940625>,<85.02899567045387;88.82574285001404>,0,<82.96772885743327;86.91136921560756>,100,800,7446,3124
squad_super_answer_length_3,answer_lenght,3,<77.4875;83.440625>,3.606250000000003,<69.11875;73.88125>,<84.97891697876894;89.13953649286742>,0,<83.4630921860102;86.96632976676173>,100,800,7446,3124
squad_super_answer_length_3,answer_lenght,3,<78.5;82.940625>,4.3031250000000085,<68.875;74.19687499999999>,<85.30975647871624;88.78365592273529>,0,<83.35846484696862;86.48181105254113>,100,800,7446,3124
squad_super_cosine_similarity_01,cosine_similarity,0.1,<72.375;74.690625>,1.6781250000000085,<76.36875;81.815625>,<81.78347914784324;83.68223649088826>,1.5037620671446774,<85.18599855803294;89.22973955459663>,100,800,954,9616
squad_super_cosine_similarity_01,cosine_similarity,0.1,<72.434375;74.690625>,2.684375000000003,<77.375;81.88125>,<81.87840912527031;83.56922805962387>,1.8780224779474821,<85.44725053757135;88.99318911019921>,100,800,954,9616
squad_super_cosine_similarity_01,cosine_similarity,0.1,<72.434375;74.815625>,1.6124999999999972,<76.428125;82.0>,<81.91823535075662;83.68367674793515>,1.5189783022287742,<85.20265505016393;89.00906688255492>,100,800,954,9616
squad_super_max_sim_ents_0,max_sim_ents,0,<74.0;78.38125>,1.4875000000000114,<79.86875;84.63125>,<83.37008827339884;86.80430330255263>,0.24445409123769934,<87.04875739379032;90.61296256416095>,100,800,5006,5564
squad_super_max_sim_ents_0,max_sim_ents,0,<73.809375;78.815625>,1.6843750000000028,<80.5;84.565625>,<83.3382987959627;86.96964717266393>,0.15368950423649608,<87.12333667690042;90.39546501431234>,100,800,5006,5564
squad_super_max_sim_ents_0,max_sim_ents,0,<72.803125;79.0>,1.6843750000000028,<80.684375;84.940625>,<82.95205238075872;86.81966379834178>,0.6276042387976162,<87.4472680371394;90.8971143291067>,100,800,5006,5564
squad_super_ans_sub_pos_1,answer_subject_positions,1,<76.625;81.315625>,0,<73.375;77.690625>,<84.89432789132351;88.33533201334299>,0,<83.71153220645527;86.41825797464111>,100,800,5903,1672
squad_super_ans_sub_pos_1,answer_subject_positions,1,<75.9875;81.25>,0,<73.184375;76.88125>,<84.47366762821684;88.70280186382105>,0,<83.76373926829363;86.17789347377217>,100,800,5903,1672
squad_super_ans_sub_pos_1,answer_subject_positions,1,<76.61875;81.690625>,0,<72.921875;77.190625>,<84.92819699536619;88.82242403732812>,0,<83.34966697896476;86.1940458253237>,100,800,5903,1672
squad_base,distances,7,<80.184375;84.625>,8.737500000000011,<66.875;71.44687499999999>,<88.01293612921012;91.27712881550187>,8.104289503217657,<76.22771370974344;79.90864662599246>,100,800,8768,1651
squad_base,distances,7,<79.375;84.375>,8.625,<66.61875;70.75>,<87.28109621368793;91.04951077785876>,7.593086222395698,<76.02097772834969;79.68800999129223>,100,800,8768,1651
squad_base,distances,7,<80.125;84.75>,8.5,<66.625;71.625>,<87.6010410287597;91.06106778110912>,7.550794294727623,<75.8710637586991;80.05024673403207>,100,800,8768,1651
squad_base,similar_words,4,<73.809375;78.815625>,0.296875,<79.1125;84.375>,<83.03940058034568;86.73993969895557>,0,<86.71774091056794;90.17972112635577>,100,800,3281,7289
squad_base,similar_words,4,<74.36875;79.440625>,0,<78.99375;84.25625>,<83.53292184316233;87.29430791663424>,0,<86.39015219146553;90.31591131408032>,100,800,3281,7289
squad_base,similar_words,4,<74.178125;78.82187499999999>,0.7250000000000085,<79.546875;83.875>,<83.09975511195958;87.12215341326925>,0,<87.02340242855655;90.44629559417059>,100,800,3281,7289
squad_base,answer_lenght,3,<82.309375;87.190625>,10.059375000000003,<67.809375;72.25>,<87.386717785195;91.34661508322709>,1.7794777433100109,<81.98359372650832;85.60724004188499>,100,800,7446,3124
squad_base,answer_lenght,3,<82.059375;86.565625>,9.059375000000003,<67.3625;73.0>,<87.0932109766107;90.82048992634236>,1.4003070732738223,<82.26003789357098;85.69290390333688>,100,800,7446,3124
squad_base,answer_lenght,3,<82.25;86.625>,9.375,<67.809375;72.875>,<87.42411966619456;91.03995362351426>,1.7363386216861159,<81.96648657843785;85.68778104450844>,100,800,7446,3124
squad_base,cosine_similarity,0.1,<73.125;75.440625>,2.7437500000000057,<78.184375;82.940625>,<82.36215463381264;84.06125169316142>,2.0706743286635287,<86.13192602182495;90.03752728266443>,100,800,954,9616
squad_base,cosine_similarity,0.1,<73.184375;75.565625>,2.671875,<78.2375;83.5>,<82.23544760289423;84.01813921713119>,1.8504359836157818,<85.86857520074697;90.11847151811288>,100,800,954,9616
squad_base,cosine_similarity,0.1,<73.059375;75.440625>,2.487499999999997,<77.928125;83.25625>,<82.18543964383942;84.0218433213821>,2.2365510176591243,<86.25839433904122;90.10541509418047>,100,800,954,9616
squad_base,max_sim_ents,0,<73.125;78.63749999999999>,2.8500000000000085,<81.4875;86.25>,<83.33900708977593;86.83502512802042>,1.2234681220792112,<88.05849325009963;91.35030763990119>,100,800,5006,5564
squad_base,max_sim_ents,0,<73.434375;79.00625>,2.9937500000000057,<82.0;86.0>,<83.1967522590385;86.61195099015397>,1.7610624496016811,<88.37301343975565;91.40322808089245>,100,800,5006,5564
squad_base,max_sim_ents,0,<73.61875;79.19687499999999>,1.6000000000000085,<80.796875;86.25>,<83.1297676169796;86.79804272442821>,0.9175639890756315,<87.71560671350385;91.46307569455757>,100,800,5006,5564
squad_base,answer_subject_positions,1,<79.35625;84.440625>,0.6000000000000085,<74.0;78.75625>,<87.02836234715281;90.49338367657852>,0.05243651235669233,<84.1450051923028;86.97592583479612>,100,800,5903,1672
squad_base,answer_subject_positions,1,<79.303125;84.25>,0.9874999999999972,<74.61875;78.315625>,<86.76957477897805;90.61229701300005>,0,<83.93985702041314;86.89637941742326>,100,800,5903,1672
squad_base,answer_subject_positions,1,<79.5;84.190625>,1.4343750000000028,<74.184375;78.065625>,<86.93276388505194;90.28764451062953>,0.4291298596474178,<83.82883290753038;86.50363402540452>,100,800,5903,1672
