dataset,model,em_diff
AdversarialQA,squad_base,0
AdversarialQA,squad_supersampled_all,-0.622222
AdversarialQA,squad_supersampled_ans_cos,-0.766666
AdversarialQA,squad_supersampled_ans_sub_pos_1,-2.583333
AdversarialQA,squad_supersampled_answer_length_3,-2.416666
AdversarialQA,squad_supersampled_cosine_similarity_01,-0.85
AdversarialQA,squad_supersampled_dist_ans,-0.7
AdversarialQA,squad_supersampled_dist_cos,-0.616666
AdversarialQA,squad_supersampled_distances_7,-0.7
AdversarialQA,squad_supersampled_similar_entities_0,0.266667
AdversarialQA,squad_supersampled_similar_words_4,-0.8
AdversarialQA,squad_supersampled_top_3,-1.016666
NaturalQuestions,squad_base,0
NaturalQuestions,squad_supersampled_all,0.608376
NaturalQuestions,squad_supersampled_ans_cos,-3.381437
NaturalQuestions,squad_supersampled_ans_sub_pos_1,-0.304188
NaturalQuestions,squad_supersampled_answer_length_3,-5.461234
NaturalQuestions,squad_supersampled_cosine_similarity_01,1.690719
NaturalQuestions,squad_supersampled_dist_ans,0.863045
NaturalQuestions,squad_supersampled_dist_cos,1.266271
NaturalQuestions,squad_supersampled_distances_7,3.155065
NaturalQuestions,squad_supersampled_similar_entities_0,2.009055
NaturalQuestions,squad_supersampled_similar_words_4,0.608376
NaturalQuestions,squad_supersampled_top_3,-0.304188
SQuAD,squad_base,0
SQuAD,squad_supersampled_all,-0.961842
SQuAD,squad_supersampled_ans_cos,-0.911384
SQuAD,squad_supersampled_ans_sub_pos_1,-2.39199
SQuAD,squad_supersampled_answer_length_3,-1.980448
SQuAD,squad_supersampled_cosine_similarity_01,-0.892463
SQuAD,squad_supersampled_dist_ans,-0.963418
SQuAD,squad_supersampled_dist_cos,-1.857458
SQuAD,squad_supersampled_distances_7,-1.299275
SQuAD,squad_supersampled_similar_entities_0,0.186061
SQuAD,squad_supersampled_similar_words_4,-0.627562
SQuAD,squad_supersampled_top_3,-1.777042
TriviaQA,squad_base,0
TriviaQA,squad_supersampled_all,-1.559057
TriviaQA,squad_supersampled_ans_cos,-0.896458
TriviaQA,squad_supersampled_ans_sub_pos_1,-2.584307
TriviaQA,squad_supersampled_answer_length_3,-2.670733
TriviaQA,squad_supersampled_cosine_similarity_01,-2.075919
TriviaQA,squad_supersampled_dist_ans,-0.891374
TriviaQA,squad_supersampled_dist_cos,-0.743941
TriviaQA,squad_supersampled_distances_7,-1.023555
TriviaQA,squad_supersampled_similar_entities_0,-0.586341
TriviaQA,squad_supersampled_similar_words_4,0.50161
TriviaQA,squad_supersampled_top_3,-0.942213
