dataset,field,threshold,lower_interval_em,distance,higher_interval_em,lower_interval_f1,distance,higher_interval_f1,samples,sample_size,len_lower,len_higher
squad_base,kth_sentence_new,0,<79.11875;83.94687499999999>,0,<77.684375;82.38125>,<86.53740097491065;89.90996304537433>,0,<85.80185392060197;89.34689269053591>,100,800,3571,6999
squad_base,kth_sentence_new,1,<78.0;83.565625>,0,<76.809375;81.565625>,<85.70008752005539;89.62586337185236>,0,<85.56159301414826;88.83365228819277>,100,800,6082,4488
squad_base,kth_sentence_new,2,<78.36875;83.190625>,0,<76.9875;81.63125>,<85.74660829634892;89.54869853519278>,0,<85.6628717174139;88.74015693371432>,100,800,7872,2698
squad_base,kth_sentence_new,3,<77.934375;83.0>,0,<75.934375;79.5>,<85.69257763233207;89.7275354081169>,0,<84.97881213163672;87.68591753010682>,100,800,9134,1436
squad_base,answer_subject_positions,0,<79.809375;84.07187499999999>,0,<77.625;82.5>,<86.92197916430143;89.9060129401046>,0,<85.94124015962619;89.68001675357004>,100,800,3049,4526
squad_base,answer_subject_positions,1,<79.434375;83.940625>,0.8625000000000114,<74.24375;78.57187499999999>,<86.93392715855123;90.35021718753967>,0,<83.82329586219382;87.1017981477801>,100,800,5903,1672
squad_base,answer_subject_positions,0,<79.796875;84.75625>,0,<77.809375;82.82187499999999>,<87.02199397082089;90.45492742756598>,0,<86.18868178150872;89.94063959906491>,100,800,3049,4526
squad_base,answer_subject_positions,1,<79.684375;83.940625>,1.1187500000000057,<74.75;78.565625>,<86.97624700191592;90.34926887935825>,0.0002805522878048805,<84.31182538474586;86.97596644962812>,100,800,5903,1672
squad_base,answer_subject_positions,0,<79.99375;84.19687499999999>,0,<77.684375;82.625>,<86.88944973914994;89.91554383311657>,0,<85.94646224509654;89.43908662074416>,100,800,3049,4526
squad_base,answer_subject_positions,1,<79.2375;84.315625>,0.921875,<74.5;78.315625>,<86.79611306481064;90.32862644848585>,0,<84.2932586512203;86.89839698334474>,100,800,5903,1672
squad_base,subject_in_context_count,0,<77.0;81.875>,0,<78.375;83.25>,<85.24739396853106;88.68243213734425>,0,<86.27575348955547;89.711070788434>,100,800,4595,5975
squad_base,subject_in_context_count,1,<78.559375;83.065625>,0,<76.428125;81.19687499999999>,<85.78506467418802;89.549190863581>,0,<84.63435449467781;88.75817258988697>,100,800,7109,3461
squad_base,subject_in_context_count,2,<77.99375;82.69687499999999>,0,<76.059375;80.690625>,<85.9788720301283;89.72941416348561>,0,<85.01307635580464;87.9954152484944>,100,800,8439,2131
squad_base,max_sim_ents,0,<72.75;79.19687499999999>,2.4875000000000114,<81.684375;86.13125>,<83.19097136716385;87.15352722484579>,1.15711259391351,<88.3106398187593;91.25229494355212>,100,800,5006,5564
squad_base,max_sim_ents,1,<75.6125;80.125>,1.0593750000000028,<81.184375;85.0>,<84.47269322168532;88.04883856845403>,0,<87.5387636590303;90.78630839796801>,100,800,6021,4549
squad_base,max_sim_ents,2,<76.61875;81.125>,0,<81.0;84.88125>,<85.19739859012435;88.82499362023601>,0,<87.71922313972472;90.57715430239459>,100,800,7026,3544
squad_base,max_sim_ents,3,<77.0;81.625>,0,<80.309375;84.315625>,<85.2846121686864;88.54469959416099>,0,<87.1901877130843;90.20253377135779>,100,800,7843,2727
squad_base,max_sim_ents,4,<77.303125;82.75>,0,<79.434375;83.440625>,<85.49634540353527;89.12986985429514>,0,<86.61465433571196;89.31794007151781>,100,800,8463,2107
squad_base,distances_new,2,<81.309375;85.815625>,2.0531250000000085,<74.046875;79.25625>,<88.70084829036546;91.76070159341752>,1.7067015738635973,<83.04772965118258;86.99414671650186>,100,800,5050,5369
squad_base,distances_new,3,<81.303125;86.0>,4.546875,<71.934375;76.75625>,<88.97697858393413;91.85497299602062>,4.028043993173924,<81.07617422075847;84.9489345907602>,100,800,6454,3965
squad_base,distances_new,4,<81.428125;85.63125>,6.237499999999997,<70.49375;75.190625>,<88.48375724282631;91.63457846193039>,4.936897230825579,<79.88437085678459;83.54686001200074>,100,800,7340,3079
squad_base,distances_new,5,<81.25;85.625>,6.987500000000011,<68.74375;74.26249999999999>,<88.38562626032245;91.47605667847617>,5.572600377351293,<78.63825161876953;82.81302588297116>,100,800,7957,2462
squad_base,distances_new,6,<79.553125;85.25>,7.481250000000003,<66.803125;72.07187499999999>,<87.76393657832394;91.58572745171995>,6.828434332124559,<76.75010364343677;80.93550224619938>,100,800,8447,1972
squad_base,distances,2,<81.309375;85.065625>,0.8625000000000114,<75.309375;80.44687499999999>,<88.41399767792029;91.44870696180084>,0.825364219413558,<84.35274040588729;87.58863345850673>,100,800,4031,5368
squad_base,distances,3,<80.875;85.5>,2.921875,<73.24375;77.953125>,<88.4845743360289;92.09880079747052>,2.2736685022560295,<82.35474014242376;86.21090583377287>,100,800,5223,4176
squad_base,distances,4,<80.934375;85.88125>,3.546875000000014,<71.684375;77.38749999999999>,<88.36772857467143;91.6860578325248>,3.3287821384149225,<81.19153163422494;85.03894643625651>,100,800,5973,3426
squad_base,distances,5,<80.171875;85.065625>,3.2906250000000057,<71.35625;76.88125>,<88.34912802834381;91.48374244859568>,3.4894399343954774,<80.63857266924181;84.85968809394834>,100,800,6524,2875
squad_base,distances,6,<80.184375;84.88125>,5.0531250000000085,<70.61875;75.13125>,<88.20710054088225;91.55348635700669>,4.280330605663835,<80.04253743804564;83.92676993521842>,100,800,6939,2460
squad_base,distances_new,7,<79.790625;84.940625>,8.468750000000014,<66.0;71.32187499999999>,<87.72852286415083;91.2961170848892>,7.7903594532803595,<75.91611736107603;79.93816341087047>,100,800,8768,1651
squad_base,distances_new,8,<80.11875;84.44687499999999>,10.178125000000009,<66.178125;69.940625>,<87.67078260590287;90.79398021603892>,8.742050465981023,<75.1367496001757;78.92873213992185>,100,800,9048,1371

squad_base,distances,2,<81.934375;85.940625>,1.9937500000000057,<74.434375;79.940625>,<88.88157510220194;91.82425872515991>,1.830922046001774,<83.10336709190977;87.05065305620016>,100,800,5050,5369
squad_base,distances,3,<81.5;85.875>,3.934375000000003,<71.684375;77.565625>,<88.86593123916222;92.0042452729982>,3.5948839266069967,<81.15807264752429;85.27104731255523>,100,800,6454,3965
squad_base,distances,4,<81.303125;86.32187499999999>,6.296875,<70.36875;75.00625>,<88.66577927763339;91.9157562998863>,5.000605724761556,<79.70152982943148;83.66517355287183>,100,800,7340,3079
squad_base,distances,5,<81.184375;85.07187499999999>,7.743750000000006,<69.2375;73.440625>,<88.23170410108295;91.17928128528114>,5.916741243631009,<78.82266319141178;82.31496285745195>,100,800,7957,2462
squad_base,distances,6,<80.559375;85.065625>,8.803125000000009,<67.303125;71.75625>,<87.99861411008344;91.63299233052066>,7.484419589192754,<77.19743693059058;80.51419452089068>,100,800,8447,1972
squad_base,distances,7,<79.934375;84.815625>,8.368750000000006,<66.24375;71.565625>,<87.9561743951697;91.39405657259097>,8.197941856198184,<75.80704825813446;79.75823253897151>,100,800,8768,1651
squad_base,distances,8,<80.059375;84.94687499999999>,10.178125000000009,<66.125;69.88125>,<88.10149869258166;91.33483276382425>,9.727416634438612,<75.10890137471847;78.37408205814305>,100,800,9048,1371
squad_super_distances_7,distances,2,<80.11875;84.75>,1.6125000000000114,<72.803125;78.50625>,<87.63584126838798;90.89001572137876>,1.0086630192136141,<82.4228168640471;86.62717824917436>,100,800,5050,5369
squad_super_distances_7,distances,3,<79.75;84.0>,3.059375000000003,<71.125;76.690625>,<87.18610396367527;90.93223874270937>,2.196092796401558,<80.93121404764051;84.9900111672737>,100,800,6454,3965
squad_super_distances_7,distances,4,<79.625;84.64375>,5.184375000000003,<69.809375;74.440625>,<87.50951633508119;90.89096300863673>,4.175367084456212,<79.36336743596789;83.33414925062498>,100,800,7340,3079
squad_super_distances_7,distances,5,<78.921875;83.565625>,5.921875,<68.375;73.0>,<87.36584024275074;90.39416506054862>,4.797594676259564,<78.64026708767466;82.56824556649117>,100,800,7957,2462
squad_super_distances_7,distances,6,<79.309375;83.13125>,7.1781250000000085,<66.99375;72.13125>,<87.02583750138984;89.78165929796019>,5.384764700854149,<77.69787521995318;81.6410728005357>,100,800,8447,1972
squad_super_distances_7,distances,7,<77.61875;83.190625>,6.118750000000006,<66.678125;71.5>,<86.01564116899392;90.0696449475606>,5.40799286864555,<76.93599952615752;80.60764830034837>,100,800,8768,1651
squad_super_distances_7,distances,8,<77.6125;83.190625>,7.171875,<66.75;70.440625>,<86.22030909794219;90.1349821971098>,6.769181601915207,<76.4483064465392;79.45112749602698>,100,800,9048,1371
squad_base,distances,2,<82.059375;86.690625>,2.171875000000014,<74.49375;79.88749999999999>,<88.86562380327247;92.14572020150077>,1.6830803315213672,<83.21904585467351;87.1825434717511>,100,800,5050,5369
squad_base,distances,3,<81.809375;86.0>,4.540625000000006,<71.671875;77.26875>,<88.75522834051682;91.96691920177237>,3.49723906239835,<81.26120053468836;85.25798927811847>,100,800,6454,3965
squad_base,distances,4,<81.684375;85.815625>,6.3031250000000085,<70.11875;75.38125>,<88.84988330802237;91.81348533965264>,5.140800352640184,<79.85398854147903;83.70908295538219>,100,800,7340,3079
squad_base,distances,5,<80.434375;85.25>,7.184375000000003,<68.678125;73.25>,<88.12119490239458;91.89844181816359>,5.944249699545196,<78.32845151082239;82.17694520284938>,100,800,7957,2462
squad_base,distances,6,<80.375;85.00625>,8.059375000000003,<67.184375;72.315625>,<87.99375294241987;91.22738930343857>,7.0002677881921755,<76.99455598361364;80.9934851542277>,100,800,8447,1972
squad_base,distances,7,<79.875;84.88125>,8.546875,<66.49375;71.328125>,<87.69818066583771;91.2420553714631>,7.993854988489289,<75.57912025043004;79.70432567734842>,100,800,8768,1651
squad_base,distances,8,<80.059375;84.565625>,9.868750000000006,<66.559375;70.190625>,<87.48441691007886;90.98976158469176>,9.166845768172024,<75.45396009565943;78.31757114190684>,100,800,9048,1371
squad_base,distances,2,<81.559375;86.065625>,2.059375000000003,<74.434375;79.5>,<88.78482399786053;91.85062668100159>,1.6684426831438373,<83.49522430901621;87.11638131471669>,100,800,5050,5369
squad_base,distances,3,<81.125;86.065625>,4.184375000000003,<72.0;76.940625>,<88.70217108926927;91.80858602816708>,3.8953038793154775,<81.01727663417715;84.8068672099538>,100,800,6454,3965
squad_base,distances,4,<80.934375;85.75625>,5.868750000000006,<70.125;75.065625>,<88.34608565174898;91.5860231970656>,5.172842820221177,<79.72578038900285;83.1732428315278>,100,800,7340,3079
squad_base,distances,5,<80.309375;85.875>,7.106250000000003,<67.86875;73.203125>,<87.98203892643191;91.72411477330536>,5.899620471511398,<78.32004630197146;82.08241845492051>,100,800,7957,2462
squad_base,distances,6,<80.434375;85.50625>,8.428125000000009,<67.1125;72.00625>,<88.17770415700247;91.61906195463187>,7.631679638228931,<76.86260514466572;80.54602451877354>,100,800,8447,1972
